interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;2884709.776282;45995.903953;18154.358884;34713.499690;553.497205;218.462646;227.776001;3.631826;1.433464;1163.105366;18.545395;7.319777;56.597915;0.902438;0.356188;0;0;0;1240.001912;19.771489;7.803710;-130908064#6;632.45;3.98
0.00;3000.00;806271971;8893324.515103;79133.838189;51983.535923;124675.197094;1109.374437;728.755324;783.934284;6.975539;4.582277;3734.956581;33.234079;21.831684;187.274211;1.666388;1.094661;0;0;0;3822.813275;34.015838;22.345227;-130908064#7;1387.10;8.11
0.00;3000.00;806271971;1226987.191242;158150.873200;5857.266302;18744.025989;2415.986164;89.478319;114.959480;14.817548;0.548782;525.522661;67.736541;2.508686;25.501011;3.286919;0.121734;0;0;0;527.423448;67.981540;2.517760;-130908064#8;151.09;0.72
0.00;3000.00;806271971;1358803.783578;151398.750259;6839.680293;23161.429373;2580.660654;116.585466;137.934550;15.368752;0.694308;581.117546;64.748473;2.925116;27.345951;3.046903;0.137649;0;0;0;584.088044;65.079448;2.940068;-130908064#9;206.99;1.04
0.00;3000.00;806271971;3282071.702934;47451.639079;32265.211165;45702.892628;660.764713;449.293500;288.216560;4.166986;2.833384;1380.266234;19.955656;13.569046;70.399597;1.017826;0.692081;0;0;0;1410.803498;20.397159;13.869250;-130908153#0;454.25;4.47
0.00;3000.00;806271971;2767865.556779;78041.322090;25274.276622;42932.443626;1210.501230;392.030044;262.251192;7.394301;2.394701;1185.401189;33.422966;10.824282;57.646386;1.625368;0.526388;0;0;0;1189.774237;33.546266;10.864214;-130908153#1;344.56;3.15
0.00;3000.00;806271971;1254585.511601;38494.058142;25569.277540;21800.762910;668.906047;444.313881;129.241216;3.965468;2.634021;537.511071;16.492285;10.954829;25.347288;0.777723;0.516594;0;0;0;539.289511;16.546853;10.991075;-130908153#10;188.47;3.84
0.00;3000.00;806271971;501739.457255;886.635176;167271.118134;6546.750645;11.568912;2182.571621;41.606031;0.073523;13.870720;201.079316;0.355332;67.036310;9.660753;0.017072;3.220725;0;0;0;215.675010;0.381124;71.902258;-130908153#11;115.84;38.62
0.00;3000.00;806271971;5580625.971933;175583.407612;30348.081245;289064.843392;9094.856111;1571.967624;1447.331517;45.537436;7.870754;2507.850482;78.904577;13.637977;131.499833;4.137383;0.715111;0;0;0;2398.994600;75.479641;13.046007;-130908153#2;2915.48;15.85
0.00;3000.00;806271971;1151070.465687;40781.947411;6318.628080;19836.992305;702.816379;108.892184;117.911785;4.177565;0.647259;471.115212;16.691416;2.586116;23.297815;0.825432;0.127890;0;0;0;494.795149;17.530386;2.716104;-130908153#3;404.14;2.22
