tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
815.00;6061786#4_0;34.48;2.54;747.00;0.34;-6061783#1_1;5.10;0.00;tripinfo_Flow4.14 emissions_Flow4.14;68.00;Flow4.14;0;373.22;1.15;21.00;21.37;passenger;;1;1.00;220913.773743;6437.967358;34.513646;95.726607;4.628947;0;94.962794
816.00;-130908064#6_0;75.27;9.28;597.00;0.00;799540093#6_0;5.10;0.00;tripinfo_597 emissions_597;219.00;597;0;1036.30;0.96;0.00;149.99;DEFAULT_VEHTYPE;;3;120.00;596409.349310;22394.643124;116.077777;260.444605;13.075014;0;256.378283
816.00;-126303357#3_0;18.07;12.88;658.00;0.00;507341801_0;5.10;0.00;tripinfo_658 emissions_658;158.00;658;0;1120.82;0.89;0.00;99.07;DEFAULT_VEHTYPE;;3;63.00;577830.557401;16209.407905;87.644649;248.640839;12.472929;0;248.387680
816.00;-799540093#3_0;154.96;27.81;750.00;0.00;6058243#3_0;5.10;0.00;tripinfo_750 emissions_750;66.00;750;0;722.15;1.03;0.00;22.11;DEFAULT_VEHTYPE;;1;5.00;296964.642270;4857.586197;29.274506;125.380806;6.075152;0;127.651524
819.00;6061786#12_0;107.99;14.57;593.00;0.00;6055023#1_0;5.10;0.00;tripinfo_593 emissions_593;226.00;593;0;1317.38;1.06;0.00;157.80;DEFAULT_VEHTYPE;;3;115.00;777938.730525;24822.606974;131.598294;337.984022;17.179999;0;334.408570
819.00;6057932#5_0;37.10;12.00;773.00;0.00;6055573#12_0;5.10;0.00;tripinfo_773 emissions_773;46.00;773;0;289.67;0.93;0.00;24.10;DEFAULT_VEHTYPE;;1;9.00;161974.318306;3684.195643;20.621994;69.357118;3.277400;0;69.626170
820.00;-130908298_0;422.37;13.03;655.00;0.00;-421790824#2_0;5.10;0.00;tripinfo_655 emissions_655;165.00;655;0;1508.32;0.97;0.00;76.19;DEFAULT_VEHTYPE;;3;23.00;581043.056176;11618.874447;66.751565;244.863350;11.550512;0;249.765993
820.00;126303358#9_1;8.54;6.85;815.00;0.00;-126303358#9_0;5.10;0.00;tripinfo_815 emissions_815;5.00;815;0;16.65;0.96;0.00;3.33;DEFAULT_VEHTYPE;;0;0.00;16731.620516;510.848465;2.718517;7.273758;0.341028;0;7.192341
821.00;-130908064#6_0;75.27;10.85;576.00;0.00;-126303352#0_0;0.20;0.00;tripinfo_576 emissions_576;245.00;576;0;1393.65;1.25;0.00;175.05;DEFAULT_VEHTYPE;;7;104.00;701117.418861;21051.274781;112.411879;301.450266;14.790775;0;301.385561
822.00;-6055573#6_0;15.22;11.80;664.00;0.00;-793432602#3_0;5.10;0.00;tripinfo_664 emissions_664;158.00;664;0;1406.28;1.09;0.00;80.13;DEFAULT_VEHTYPE;;2;52.00;549139.736160;13612.838864;75.140945;233.209234;11.650912;0;236.053527
822.00;-130908153#4_0;31.68;22.60;674.00;4.00;806271972_0;5.10;0.00;tripinfo_670 emissions_670;148.00;670;0;1061.46;1.19;0.00;105.71;DEFAULT_VEHTYPE;;3;60.00;606974.496490;16516.705368;89.807211;263.088437;13.372827;0;260.914699
823.00;-6061782#1_1;94.54;14.65;628.00;0.00;6056686#14_0;5.10;0.00;tripinfo_628 emissions_628;195.00;628;0;1452.45;1.10;0.00;123.09;DEFAULT_VEHTYPE;;3;78.00;781464.876718;20645.266830;112.756482;337.858367;17.075545;0;335.920992
826.00;-6061786#9_0;57.33;12.87;641.00;0.00;-507033019_0;5.10;0.00;tripinfo_641 emissions_641;185.00;641;0;1743.83;1.00;0.00;99.90;DEFAULT_VEHTYPE;;2;38.00;754941.709023;16319.934364;92.466304;323.119660;15.962083;0;324.517429
826.00;-126303358#4_1;43.99;13.54;798.00;0.00;507340350#3_0;1.19;0.00;tripinfo_798 emissions_798;28.00;798;0;371.98;1.06;0.00;14.49;DEFAULT_VEHTYPE;;0;0.00;202752.648412;3659.578771;21.611944;87.926641;4.520310;0;87.153828
827.00;-6057280#3_0;61.01;13.17;515.00;0.00;-6056686#15_0;5.10;0.00;tripinfo_515 emissions_515;312.00;515;0;1476.19;0.97;0.00;235.51;DEFAULT_VEHTYPE;;7;165.00;1005348.661026;34200.970561;179.704346;440.238911;22.390785;0;432.165422
827.00;6062805#2_2;47.25;15.16;721.00;0.00;6054053#1_0;1.73;0.00;tripinfo_721 emissions_721;106.00;721;0;888.02;1.12;0.00;56.07;DEFAULT_VEHTYPE;;1;27.00;437485.283400;9888.883613;55.428498;186.253311;9.028578;0;188.057024
827.00;6061782#1_0;94.54;11.50;787.00;0.00;507341800#1_0;5.10;0.00;tripinfo_787 emissions_787;40.00;787;0;378.00;0.87;0.00;7.64;DEFAULT_VEHTYPE;;0;0.00;115664.348292;1951.421983;11.590048;47.321209;2.009044;0;49.719330
827.00;6057280#1_0;70.40;13.34;790.00;0.00;6062244#1_0;0.20;0.00;tripinfo_790 emissions_790;37.00;790;0;340.25;1.03;0.00;11.68;DEFAULT_VEHTYPE;;0;0.00;138151.864486;2482.590405;14.579690;58.199097;2.658439;0;59.385519
